,date,station_name,count(card_id)
205,2020-05-10,(03004) GRATAMIRA,6
206,2020-05-13,(02000) Cabecera Autopista Norte,740
207,2020-02-15,(02000) Cabecera Autopista Norte,4657
208,2020-06-28,(02000) Cabecera Autopista Norte,298
209,2020-05-13,(02000) Cabecera Autopista Norte - alimentacion,3602
210,2020-10-03,(02001) Centro Comercial Santa Fe,391
211,2020-03-08,(02101) Toberín,1770
212,2020-07-05,(02101) Toberín,352
213,2020-02-14,(02104) Calle 146,9234
214,2020-09-07,(02105) Calle 142,544
215,2020-10-07,(02200) Alcalá,1221
216,2020-08-17,(02200) Alcalá,336
217,2020-02-12,(02201) Prado,5193
218,2020-08-03,(02201) Prado,422
219,2020-01-24,(02205) Calle 106,1004
220,2020-07-31,(02300) Calle 100,259
221,2020-08-25,(02300) Calle 100,265
222,2020-02-14,(02502) Terminal,5826
223,2020-10-02,(02502) Terminal,493
224,2020-06-08,(03000) Portal Suba,1344
225,2020-02-25,(03000) Portal Suba - alimentacion,34482
226,2020-08-10,(03002) SUBA - TV- 91,610
227,2020-04-30,(03003) 21 ANGELES,205
228,2020-09-12,(03005) SUBA - AV. BOYACA,272
229,2020-03-20,(03005) SUBA - AV. BOYACA,158
230,2020-08-20,(03009) Av. Suba- Calle 116,123
231,2020-04-29,(03009) Av. Suba- Calle 116,108
232,2020-01-08,(03010) PUENTE LARGO,637
233,2020-05-16,(03010) PUENTE LARGO,72
234,2020-04-21,(03011) SUBA - CALLE 100,75
235,2020-01-14,(04000) Cabecera Calle 80,6650
236,2020-05-27,(04000) Cabecera Calle 80 - alimentacion,3846
237,2020-06-27,(04000) Cabecera Calle 80 - alimentacion,3495
238,2020-01-25,(04001) Quirigua,1118
239,2020-05-21,(04001) Quirigua,338
240,2020-03-23,(04002) Carrera 90,136
241,2020-04-24,(04002) Carrera 90,419
242,2020-09-10,(04100) Carrera 77,1308
243,2020-10-09,(04100) Carrera 77,1627
244,2020-05-23,(04100) Carrera 77,786
245,2020-10-11,(04100) Carrera 77,489
246,2020-02-26,(04101) Minuto de Dios,2243
247,2020-06-26,(04101) Minuto de Dios,313
248,2020-03-02,(04102) Avenida Boyaca,2375
249,2020-06-19,(04102) Avenida Boyaca,241
250,2020-04-06,(04103) Las Ferias,96
251,2020-01-21,(04104) Avenida 68,1328
252,2020-02-11,(04105) Carrera 53,1106
253,2020-07-12,(04105) Carrera 53,73
254,2020-07-20,(04106) Carrera 47,66
255,2020-08-19,(04108) El Polo,123
256,2020-01-24,(04108) El Polo,673
257,2020-04-14,(05000) Portal Américas,1434
258,2020-09-30,(05000) Portal Américas,4915
259,2020-08-05,(05000) Portal Américas,2536
260,2020-03-16,(05001) Patio Bonito,6293
261,2020-06-09,(05001) Patio Bonito,1677
262,2020-07-23,(05100) Banderas P. Central,574
263,2020-03-24,(05100) Banderas P. Central,785
264,2020-03-03,(05100) Banderas P. Central - alimentacion,17727
265,2020-01-04,(05101) Mandalay - Cr.73,222
266,2020-09-05,(05103) Marsella,443
267,2020-02-22,(06000) Portal Eldorado,1259
268,2020-09-16,(06000) Portal Eldorado - alimentacion,4207
269,2020-05-06,(06000) Portal Eldorado - alimentacion,2823
270,2020-04-17,(06001) Modelia,92
271,2020-01-04,(06001) Modelia,288
272,2020-01-13,(06002) Normandía,1777
273,2020-02-04,(06002) Normandía,2658
274,2020-08-02,(06100) Av. Rojas,28
275,2020-01-17,(06102) Salitre El Greco,529
276,2020-08-11,(06105) Quinta Paredes,41
277,2020-04-06,(06106) Recinto Ferial,51
278,2020-02-04,(06106) Recinto Ferial,800
279,2020-02-02,(06109) Centro Memoria,138
280,2020-02-04,(06111) Universidades,2327
281,2020-04-14,(07000) Portal Sur - alimentacion,4559
282,2020-03-04,(07001) PERDOMO,5145
283,2020-08-19,(07002) MADELENA,776
284,2020-09-23,(07002) MADELENA,1131
285,2020-10-12,(07003) SEVILLANA,143
286,2020-05-14,(07004) VENECIA,781
287,2020-02-14,(07005) ALQUERIA,2688
288,2020-02-15,(07005) ALQUERIA,1769
289,2020-09-07,(07006) General Santander,585
290,2020-08-14,(07006) General Santander,537
291,2020-06-24,(07006) General Santander - alimentacion,457
292,2020-08-05,(07007) NQS - Calle 38A Sur,207
293,2020-01-07,(07009) SENA,2095
294,2020-08-07,(07010) Bosa,346
295,2020-06-06,(07010) Bosa,714
296,2020-06-19,(07010) Bosa,1075
297,2020-05-04,(07010) Bosa,565
298,2020-01-30,(07103) AV. CHILE,1452
299,2020-03-26,(07103) AV. CHILE,164
300,2020-09-13,(07104) Simon Bolivar,87
301,2020-06-25,(07104) Simon Bolivar,179
302,2020-08-11,(07104) Simon Bolivar,142
303,2020-03-11,(07105) MOVISTAR ARENA,413
304,2020-02-16,(07107) U. NACIONAL,221
305,2020-03-03,(07109) CAD,1056
306,2020-08-24,(07110) PALOQUEMAO,128
307,2020-08-22,(07111) NQS - RICAURTE,209
308,2020-04-10,(07111) NQS - RICAURTE,42
309,2020-06-12,(07112) COMUNEROS,571
310,2020-08-12,(07112) COMUNEROS,549
311,2020-08-19,(07112) COMUNEROS,516
312,2020-06-20,(07200) Tygua-San José,167
313,2020-01-17,(07503) SAN MATEO,40370
314,2020-06-09,(07503) SAN MATEO,10498
315,2020-07-20,(07504) TERREROS,1589
316,2020-01-01,(07505) LEON XIII,665
317,2020-01-24,(08000) Portal Tunal,1488
318,2020-02-12,(08000) Portal Tunal,1772
319,2020-06-02,(08000) Portal Tunal - alimentacion,6706
320,2020-10-01,(08001) Parque el Tunal,588
321,2020-04-03,(08001) Parque el Tunal,259
322,2020-07-02,(09000) Cabecera Usme,2223
323,2020-04-22,(09000) Cabecera Usme,1117
324,2020-01-29,(09002) Consuelo,1511
325,2020-01-05,(09003) Socorro,403
326,2020-01-24,(09100) Calle 40 Sur,7469
327,2020-05-17,(09104) Restrepo,297
328,2020-02-28,(09110) Avenida Jimenez,892
329,2020-02-24,(09111) Calle 19,771
330,2020-04-12,(09111) Calle 19,85
331,2020-08-09,(09001) Molinos,722
332,2020-08-26,(09113) Calle 22,224
333,2020-07-05,(09113) Calle 22,146
334,2020-05-12,(09115) Calle 34,205
335,2020-09-21,(09115) Calle 34,217
336,2020-07-12,(09116) Avenida 39,76
